"Map","Lot","SubLot","Polytype","LinkID","TM_update_","Hist_Dist","Pine_Tr_Zn","OL_CAC","Lot_Sub","Ward_2013","Export_Vis","FD","X10D_ID","OBJECTID_1","Vision_PID","GISID","F10D_ID","Map_1","Block","Lot_1","St_Num","Street","Location","CurOwn_Dat","CurOwn_QU","CurOwn_VI","CurOwn_Sal","PROwn1_Dat","PROwn1_QU","PROwn1_VI","PROwn1_Sal","PROwn2_Sal","PROwn3_Sal","PROwn4_Sal","PROwn5_Sal","Land_Val","Build_Val","Total_Val","Zone","Room_Cnt","Build_SF","Sale_Price","Sale_Date","Year_Built","Land_Area","Build_Styl","Bath_Cnt","Exempt_Val","Bed_Cnt","Tax_Total","LU_CODE","LU_DESC4"
0,0,0,parcel,,0,0,0,0,,3,1,4,1000000000,0,0,,0,,,,0,,,,,,0,,,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,,0,,
0,0,0,parcel,,0,0,0,0,,6,1,5,1000000000,0,0,,0,,,,0,,,,,,0,,,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,,0,,
0,0,0,parcel,,0,0,0,1,,1,1,3,1000000000,0,0,,0,,,,0,,,,,,0,,,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,,0,,
0,0,0,parcel,,0,0,0,1,,1,1,2,1000000000,0,0,,0,,,,0,,,,,,0,,,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,,0,,
0,0,0,parcel,,0,0,0,1,,1,1,1,1000000000,0,0,,0,,,,0,,,,,,0,,,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,,0,,
0,0,0,parcel,,0,0,0,0,,1,1,4,1000000000,0,0,,0,,,,0,,,,,,0,,,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,,0,,
33,0,0,ROW,,0,0,0,0,,7,1,14,0,0,0,,0,,,,0,,,,,,0,,,,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,,0,,
10,1,0,parcel,10-1,0,0,0,1,1,1,1,Bask,1010001000,1581,1091,10-1,1010001000,     10,      1,,1,BASKET ISLAND,1 BASKET ISLAND,07/13/09,U,I,0,07/07/93,U,I,1,0,0,0,0,300500,31300,331800,CR RP,5,922,0,07/13/09,1915,16988,Cottage,0.5,0,3,331800,1012,OCN FT  MDL-01
10,10,0,parcel,10-10,2012,0,0,1,10,1,1,Stag,1010010000,1598,1108,10-10,1010010000,     10,     10,,1,STAGE ISLAND,1 STAGE ISLAND,10/27/71,,,0,,,,0,0,0,0,0,3200,0,3200,CR RP,,0,0,10/27/71,0,392040,Vacant Land,,0,,3200,9010,STATE OWND  MDL-00
10,10,1,parcel,10-10-1,2012,0,0,1,10-1,1,1,Stag,1010010001,1599,120512,10-10-1,1010010001,     10,     10,      1,1,STAGE ISLAND,1  STAGE ISLAND,10/27/71,,,0,,,,0,0,0,0,0,3800,0,3800,CR RP,,0,0,10/27/71,0,392040,Vacant Land,,0,,3800,1320,RES ACLNUD  MDL-00
10,11,1,parcel,10-11-1,0,0,0,1,11-1,1,1,3,1010011001,1600,1109,10-11-1,1010011001,     10,     11,      1,65,OLD POOL RD,65 OLD POOL RD,12/11/15,U,V,345000,07/11/80,,,0,0,0,0,0,334800,0,334800,CR,,0,345000,12/11/15,0,599821,Vacant Land,,0,,334800,9000,US GOVT  MDL-00
10,12,0,parcel,10-12,0,0,0,1,12,1,1,3,1010012000,1601,1110,10-12,1010012000,     10,     12,,55,OLD POOL RD,55 OLD POOL RD,10/26/02,Q,I,258000,08/31/98,U,I,129766,27000,0,0,0,118600,183700,302300,CR,7,1664,258000,10/26/02,1998,30492,Colonial,2,0,3,302300,1010,SINGLE FAM  MDL-01
10,14,0,parcel,10-14,0,0,0,1,14,1,1,3,1010014000,1602,1111,10-14,1010014000,     10,     14,,69,OLD POOL RD,69 OLD POOL RD,08/23/89,U,V,1,,,,0,0,0,0,0,124200,174200,298400,CR,6,2184,1,08/23/89,1995,65776,Colonial,2,26000,3,272400,1010,SINGLE FAM  MDL-01
10,14,1,parcel,10-14-1,2010,0,0,1,14-1,1,1,3,1010014001,1603,1112,10-14-1,1010014001,     10,     14,      1,71,OLD POOL RD,71 OLD POOL RD,12/16/10,U,I,0,10/02/07,Q,I,419000,0,0,0,0,120700,236600,357300,CR,7,2878,0,12/16/10,1953,73181,Modern/Contemp,4,0,4,357300,1010,SINGLE FAM  MDL-01
10,14,2,parcel,10-14-2,2010,0,0,1,14-2,1,1,3,1010014002,1604,120232,10-14-2,1010014002,     10,     14,      2,0,DAYS LANDING,DAYS LANDING,03/23/09,Q,V,135000,,,,0,0,0,0,0,89200,0,89200,CR,,0,135000,03/23/09,0,30961,Vacant Land,,0,,89200,1300,RES ACLNDV  MDL-00
