OBJECTID,Vision_PID,GISID,F10D_ID,Map,Block,Lot,St_Num,Street,Location,Land_Val,Build_Val,Total_Val,Zone,Room_Cnt,Build_SF,Sale_Price,Sale_Date,Year_Built,Land_Area,Build_Styl,Bath_Cnt,Exempt_Val,Bed_Cnt,Tax_Total,LU_CODE,LU_DESC4
1,101342,2-67-9,1002067009,      2,     67,      9,53,MOUNTAIN RD,53 MOUNTAIN RD,65900,183900,249800,RF,4,1728,0,37306,2004,124146,Modern/Contemp,,0,2,249800,1010,SINGLE FAM  MDL-01
2,119673,2-67-10,1002067010,      2,     67,     10,0,RATCHET WAY,RATCHET WAY,48700,0,48700,RF,,0,0,37306,0,77670,Vacant Land,,0,,48700,1300,RES ACLNDV  MDL-00
3,119672,2-67-11,1002067011,      2,     67,     11,16,RATCHET WAY,16 RATCHET WAY,77500,490500,568000,R,12,4732,0,39822,2008,92037,Modern/Contemp,,20000,4,548000,1010,SINGLE FAM  MDL-01
4,324,2-68,1002068000,      2,     68,,61,MOUNTAIN RD,61 MOUNTAIN RD,68800,158700,227500,RF,5,1530,104000,37316,1996,87120,Ranch,1,0,3,227500,1010,SINGLE FAM  MDL-01
5,325,2-68-1,1002068001,      2,     68,      1,65,MOUNTAIN RD,65 MOUNTAIN RD,73100,202700,275800,RF,6,1840,0,33609,1988,131551,Cape,2,20000,3,255800,1010,SINGLE FAM  MDL-01
6,102244,2-68-2,1002068002,      2,     68,      2,0,MOUNTAIN RD,MOUNTAIN RD,83900,0,83900,RF,,0,105000,37316,0,521849,Vacant Land,,0,,83900,1300,RES ACLNDV  MDL-00
7,326,2-69,1002069000,      2,     69,,1,APOSTOLIC WAY,1 APOSTOLIC WAY,96800,249800,346600,RF,,2825,0,30545,1988,165092,Churches,,0,,346600,906I,CHURCH  MDL-96
8,327,2-69-1,1002069001,      2,     69,      1,5,APOSTOLIC WAY,5 APOSTOLIC WAY,66000,500,66500,RF,,0,47800,34751,0,383764,,,0,,66500,1300,RES ACLNDV  MDL-00
9,328,2-69-2,1002069002,      2,     69,      2,4,APOSTOLIC WAY,4 APOSTOLIC WAY,55600,214900,270500,RF,7,2100,0,40961,1989,50965,Ranch,2,20000,3,250500,1010,SINGLE FAM  MDL-01
10,329,2-69-3,1002069003,      2,     69,      3,6,APOSTOLIC WAY,6 APOSTOLIC WAY,62000,218200,280200,RF,12,3076,0,42124,1990,40999,Cape,2.5,20000,4,260200,1011,SF (W/ APT)  MDL-01
11,330,2-69-4,1002069004,      2,     69,      4,21,CLEARVIEW DR,21 CLEARVIEW DR,59400,204300,263700,RF,7,1824,5000,36658,2001,50094,Raised Ranch,3,20000,4,243700,1010,SINGLE FAM  MDL-01
12,331,2-70,1002070000,      2,     70,,66,MOUNTAIN RD,66 MOUNTAIN RD,98900,137200,236100,RF,8,2018,0,40840,1858,414691,Conventional,1,20000,5,216100,1010,SINGLE FAM  MDL-01
13,332,2-70-1,1002070001,      2,     70,      1,64,MOUNTAIN RD,64 MOUNTAIN RD,64500,159400,223900,RF,6,1296,0,43231,1977,43560,Raised Ranch,1,20000,3,203900,1010,SINGLE FAM  MDL-01
14,333,2-70-2,1002070002,      2,     70,      2,62,MOUNTAIN RD,62 MOUNTAIN RD,72700,217400,290100,RF,6,1875,0,34711,1987,195584,Cape,2,20000,3,270100,1010,SINGLE FAM  MDL-01
15,335,2-71,1002071000,      2,     71,,22,OLD ALFRED RD,22 OLD ALFRED RD,23500,16400,39900,RF,,0,0,27731,0,5227,,,0,,39900,1060,AC LND OUTBLDG
16,101302,2-71-1,1002071001,      2,     71,      1,20,OLD ALFRED RD,20 OLD ALFRED RD,61300,204400,265700,RF,6,2280,265000,43052,2000,23958,Cape,2,0,3,265700,1010,SINGLE FAM  MDL-01
